sample_id,batch_number,barcode,product_name,product_category,manufacturer_name,manufacturer_address,net_quantity,unit_of_measurement,mrp_declaration,mrp_value_inr,unit_sale_price,packing_date,consumer_care_phone,consumer_care_email,country_of_origin,label_readability,compliance_status,compliance_score,risk_tier,violation_count,violated_rules,violation_descriptions
LM-GEN-00001,BN8481,8908718209494,Sunscreen Lotion,Personal Care,Odisha Produce Ltd.,"Chandaka Industrial Estate, Bhubaneswar, Odisha - 751024",50ml,ml,MRP Rs. 50 (Incl. of all taxes),50,Rs. 1.0 per ml,07/2022,,,India,GOOD,NON_COMPLIANT,85,LOW,1,LM-PC-007,Consumer care helpline and email not provided
LM-GEN-00002,BN6948,8909322325570,Eraser,Agriculture,Bengal Foods International,"Park Circus, Kolkata, West Bengal - 700017",20N,N,MRP Rs. 650 (Incl. of all taxes),650,Rs. 32.5 per N,12/2022,,,Manufactured in India,GOOD,NON_COMPLIANT,85,LOW,1,LM-PC-007,Consumer care helpline and email not provided
LM-GEN-00003,BN2470,8905162286915,Hybrid Tomato Seeds,Agriculture,Hindustan Consumer Goods,"Andheri East, MIDC, Mumbai, Maharashtra - 400093",10g,g,MRP Rs. 450 (Incl. of all taxes),450,Rs. 45.0 per g,09/2022,1800-419-8900,consumer@product.in,India,MODERATE,COMPLIANT,100,NONE,0,None,None
LM-GEN-00004,BN1430,8903277946209,Ayurvedic Churan,Condiments,,"Phase II, Industrial Zone, Ludhiana, Punjab - 141010",100g,g,MRP Rs. 1199 (Incl. of all taxes),1199,Rs. 11.99 per g,03/2023,1800-123-7890,info@pack.in,China,GOOD,NON_COMPLIANT,85,LOW,1,LM-PC-002,Manufacturer/packer name not declared
LM-GEN-00005,BN8536,8901755099620,Body Lotion,Beverages,Odisha Produce Ltd.,"Chandaka Industrial Estate, Bhubaneswar, Odisha - 751024",400ml,ml,MRP Rs. 35 (Incl. of all taxes),35,Rs. 0.0875 per ml,03/2022,,,India,MODERATE,NON_COMPLIANT,85,LOW,1,LM-PC-007,Consumer care helpline and email not provided
LM-GEN-00006,BN4134,8906922293895,Cumin Seeds,Spices,Pushpak Packaging Pvt. Ltd.,"Industrial Area Phase 1, Chandigarh - 160002",200g,g,MRP Rs. 1199 (Incl. of all taxes),1199,Rs. 5.995 per g,11/2022,1800-419-8900,consumer@product.in,Made in India,GOOD,COMPLIANT,100,NONE,0,None,None
LM-GEN-00007,BN1415,8903471823424,Moong Dal,Pulses,Kerala Naturals Pvt. Ltd.,"SY 22/3, Edapally, Kochi, Kerala - 682024",500g,g,MRP Rs. 399 (Incl. of all taxes),399,Rs. 1.995 per ml,06/2023,1800-419-8900,consumer@product.in,Manufactured in India,MODERATE,COMPLIANT,100,NONE,0,None,None
LM-GEN-00008,BN8360,8903038051617,Lip Balm,Health,JR Manufacturing,"K-18, RIICO Industrial Area, Bhiwadi, Rajasthan - 301019",2g,g,MRP Rs. 1499 (Incl. of all taxes),1499,Rs. 749.5 per g,06/2022,1800-103-1234,support@company.in,,MODERATE,NON_COMPLIANT,85,LOW,1,LM-PC-008,Country of Origin declaration missing
LM-GEN-00009,BN7645,8909972921788,Drinking Water,Beverages,Pushpak Packaging Pvt. Ltd.,"Industrial Area Phase 1, Chandigarh - 160002",0.5l,l,MRP Rs. 399 (Incl. of all taxes),399,Rs. 798.0 per l,06/2023,1800-200-5678,care@brand.com,India,GOOD,COMPLIANT,100,NONE,0,None,None
LM-GEN-00010,BN6847,8908978782630,Toothbrush,Personal Care,GreenLeaf Agro Industries,"Survey No. 87, Rajkot Industrial Estate, Rajkot, Gujarat - 360002",2N,N,MRP Rs. 399 (Incl. of all taxes),399,Rs. 199.5 per N,12/2022,1800-419-8900,consumer@product.in,USA,POOR,COMPLIANT,100,NONE,0,None,None
LM-GEN-00011,BN6193,8903288862844,Tomato Ketchup,Condiments,Kerala Naturals Pvt. Ltd.,"SY 22/3, Edapally, Kochi, Kerala - 682024",500g,g,MRP Rs. 120 (Incl. of all taxes),120,Rs. 0.24 per g,07/2024,1800-103-1234,support@company.in,USA,MODERATE,COMPLIANT,100,NONE,0,None,None
LM-GEN-00012,BN1555,8901027641046,Cream Biscuits,Snacks & Bakery,Sunrise Foods Pvt. Ltd.,"Plot No. 14, MIDC Industrial Area, Pune, Maharashtra - 411026",50g,g,MRP Rs. 9.5 (Incl. of all taxes),9.5,Rs. 0.19 per g,06/2022,011-23456789,contact@firm.co.in,India,MODERATE,COMPLIANT,100,NONE,0,None,None
LM-GEN-00013,BN2650,8907494858567,Garam Masala,Snacks & Bakery,Prime Industries Ltd.,"Survey 45/A, Vatva GIDC, Ahmedabad, Gujarat - 382445",50g,g,MRP Rs. 350 (Incl. of all taxes),350,Rs. 7.0 per g,12/2023,1800-890-0011,help@business.co.in,,POOR,NON_COMPLIANT,85,LOW,1,LM-PC-008,Country of Origin declaration missing
LM-GEN-00014,BN1661,8901365613775,Full Cream Milk Powder,Dairy,,K-18,1000g,g,MRP Rs. 250 (Incl. of all taxes),250,Rs. 0.25 per g,05/2024,,,Bharat,GOOD,NON_COMPLIANT,55,HIGH,3,LM-PC-002; LM-PC-003; LM-PC-007,Manufacturer/packer name not declared | Incomplete address — PIN code / State missing | Consumer care helpline and email not provided
LM-GEN-00015,BN7126,8907137518521,Bathing Soap,Personal Care,,B-12,125g,g,MRP Rs. 750 (Incl. of all taxes),750,Rs. 6.0 per g,06/2022,,,India,POOR,NON_COMPLIANT,55,HIGH,3,LM-PC-002; LM-PC-003; LM-PC-007,Manufacturer/packer name not declared | Incomplete address — PIN code / State missing | Consumer care helpline and email not provided
LM-GEN-00016,BN5498,8907112392569,Fabric Softener,Household,MP Agro Industries,"Pologround Industrial Area, Indore, Madhya Pradesh - 452015",250ml,ml,MRP Rs. 299 (Incl. of all taxes),299,Rs. 1.196 per ml,08/2023,1800-572-3344,grievance@goods.in,Made in India,MODERATE,COMPLIANT,100,NONE,0,None,None
LM-GEN-00017,BN5322,8909411603028,Glucose Powder,Health,Evergreen Manufacturing Co.,"Phase II, Industrial Zone, Ludhiana, Punjab - 141010",200g,g,MRP Rs. 350 (Incl. of all taxes),350,Rs. 3.5 per g,03/2023,1800-103-1234,support@company.in,India,GOOD,COMPLIANT,100,NONE,0,None,None
LM-GEN-00018,BN2907,8909054925374,Chana Dal,Pulses,JR Manufacturing,"K-18, RIICO Industrial Area, Bhiwadi, Rajasthan - 301019",500g,g,MRP Rs. 450 (Incl. of all taxes),450,Rs. 225.0 per N,05/2023,1800-890-0011,help@business.co.in,India,GOOD,COMPLIANT,100,NONE,0,None,None
LM-GEN-00019,BN9526,8906661670408,Sunscreen Lotion,Personal Care,Agro Vision Industries,"Kumbargaon MIDC, Ahmednagar, Maharashtra - 414003",100ml,ml,MRP Rs. 30 (Incl. of all taxes),30,Rs. 0.3 per ml,09/2024,1800-103-1234,support@company.in,,GOOD,NON_COMPLIANT,85,LOW,1,LM-PC-008,Country of Origin declaration missing
