sample_id,product_name,manufacturer_name,manufacturer_address,net_quantity,unit_of_measurement,mrp_declaration,mrp_value_rupees,packing_date,consumer_care_phone,consumer_care_email,country_of_origin,unit_sale_price,label_readability,product_category,compliance_status,compliance_score,violations_count,violation_labels
SIH26034-00001,Whole Wheat Atta,Marico Limited,"7th Floor, Grande Palladium, 175, CST Road, Santacruz (E), Mumbai - 400098",68N,N,Rs. 579.99 (Incl. of all taxes),579.99,06/2023,1800-123-4567,care@company.in,India,Rs. 8.53 per N,GOOD,Household Cleaning,COMPLIANT,100,0,None
SIH26034-00002,Kissan Mixed Fruit Jam,Procter & Gamble,"P&G Plaza, Cardinal Gracias Road, Chakala, Andheri East, Mumbai - 400099",5m,m,Rs. 143.09 (Incl. of all taxes),143.09,05/2025,1800-120-3345,support@india.com,India,Rs. 28.62 per m,MODERATE,Personal Care,COMPLIANT,100,0,None
SIH26034-00003,Lipton Green Tea,Amul (GCMMF),"P.O. Box 10, Amul Dairy Road, Anand, Gujarat - 388001",2l,l,Rs. 1169.0 (Incl. of all taxes),1169.0,06/2023,1800-120-3345,support@india.com,Made in India,Rs. 584.5 per l,GOOD,Food & Beverages,COMPLIANT,100,0,None
SIH26034-00004,,Nestle India Ltd,100/101,25N,N,Rs. 569.6,569.6,,1800-425-6789,grievance@brand.in,India,Rs. 22.78 per N,GOOD,Dairy Products,NON_COMPLIANT,30,4,LM-PC-005: MRP missing 'inclusive of all taxes' phrase; LM-PC-003: Incomplete address (no PIN/State); LM-PC-001: Missing product name; LM-PC-006: Missing packing/manufacturing date
SIH26034-00005,Whole Wheat Atta,Amul (GCMMF),"P.O. Box 10, Amul Dairy Road, Anand, Gujarat - 388001",98m,m,Rs. 38.15 (Incl. of all taxes),38.15,08/2024,1800-425-6789,grievance@brand.in,Made in India,Rs. 0.39 per m,MODERATE,Health & Nutrition,COMPLIANT,100,0,None
SIH26034-00006,Kwality Wall's Ice Cream,ITC Limited,"ITC Limited, Virginia House, 37, J.L. Nehru Road, Kolkata - 700071",5kg,kg,Rs. 858.49 (Incl. of all taxes),858.49,10/2024,1800-120-3345,support@india.com,India,Rs. 171.7 per kg,GOOD,Dairy Products,COMPLIANT,100,0,None
SIH26034-00007,Lipton Green Tea,KRBL Limited,"KRBL Ltd., Post Box No. 3, 5, Community Centre, New Delhi - 110017",500l,l,Rs. 230.35 (Incl. of all taxes),230.35,01/2024,1800-425-6789,grievance@brand.in,India,Rs. 0.46 per l,GOOD,Food & Beverages,COMPLIANT,100,0,None
SIH26034-00008,Tang Orange Drink Mix,Marico Limited,"7th Floor, Grande Palladium, 175, CST Road, Santacruz (E), Mumbai - 400098",1ml,ml,Rs. 431.7,431.7,06/2024,1800-120-3345,support@india.com,Made in India,Rs. 431.7 per ml,GOOD,Food & Beverages,NON_COMPLIANT,80,1,LM-PC-005: MRP missing 'inclusive of all taxes' phrase
SIH26034-00009,Hajmola Digestive Tablets,Dabur India Ltd,"Dabur India Ltd., 8/3, Asaf Ali Road, New Delhi - 110002",1000g,g,Rs. 511.78 (Incl. of all taxes),511.78,08/2024,1800-123-4567,care@company.in,Made in India,Rs. 0.51 per g,POOR,Personal Care,COMPLIANT,100,0,None
SIH26034-00010,Kissan Mixed Fruit Jam,Hindustan Unilever Ltd,Unilever House,750ml,ml,Rs. 1098.15 (Incl. of all taxes),1098.15,04/2025,1800-120-3345,support@india.com,India,Rs. 1.46 per ml,GOOD,Household Cleaning,NON_COMPLIANT,85,1,LM-PC-003: Incomplete address (no PIN/State)
SIH26034-00011,,Marico Limited,"7th Floor, Grande Palladium, 175, CST Road, Santacruz (E), Mumbai - 400098",1l,l,Rs. 303.82 (Incl. of all taxes),303.82,05/2023,1800-425-6789,grievance@brand.in,India,Rs. 303.82 per l,MODERATE,Household Cleaning,NON_COMPLIANT,80,1,LM-PC-001: Missing product name
SIH26034-00012,Surf Excel Easy Wash,Tata Consumer Products,"1 Bishop Lefroy Road, Kolkata, West Bengal - 700020",2l,l,Rs. 146.4 (Incl. of all taxes),146.4,,1800-123-4567,care@company.in,India,Rs. 73.2 per l,POOR,Personal Care,NON_COMPLIANT,85,1,LM-PC-006: Missing packing/manufacturing date
SIH26034-00013,Head & Shoulders Shampoo,Procter & Gamble,"P&G Plaza, Cardinal Gracias Road, Chakala, Andheri East, Mumbai - 400099",100l,l,Rs. 520.13,520.13,05/2024,1800-123-4567,care@company.in,India,Rs. 5.2 per l,MODERATE,Food & Beverages,NON_COMPLIANT,80,1,LM-PC-005: MRP missing 'inclusive of all taxes' phrase
SIH26034-00014,Amul Butter,Dabur India Ltd,"Dabur India Ltd., 8/3, Asaf Ali Road, New Delhi - 110002",750l,l,Rs. 799.4 (Incl. of all taxes),799.4,,1800-123-4567,care@company.in,India,Rs. 1.07 per l,MODERATE,Food & Beverages,NON_COMPLIANT,85,1,LM-PC-006: Missing packing/manufacturing date
SIH26034-00015,Colgate MaxFresh Toothpaste,Hindustan Unilever Ltd,"Unilever House, B.D. Sawant Marg, Chakala, Andheri (E), Mumbai - 400099",83m,m,Rs. 1150.49 (Incl. of all taxes),1150.49,04/2025,,,India,Rs. 13.86 per m,GOOD,Personal Care,NON_COMPLIANT,85,1,LM-PC-007: Missing consumer care contact
SIH26034-00016,Refined Sunflower Oil,Hindustan Unilever Ltd,"Unilever House, B.D. Sawant Marg, Chakala, Andheri (E), Mumbai - 400099",500l,l,Rs. 140.06 (Incl. of all taxes),140.06,10/2024,1800-123-4567,care@company.in,India,Rs. 0.28 per l,MODERATE,Household Cleaning,COMPLIANT,100,0,None
SIH26034-00017,Head & Shoulders Shampoo,ITC Limited,"ITC Limited, Virginia House, 37, J.L. Nehru Road, Kolkata - 700071",66N,N,Rs. 34.48 (Incl. of all taxes),34.48,08/2024,1800-425-6789,grievance@brand.in,Made in India,,GOOD,Food & Beverages,NON_COMPLIANT,90,1,LM-PC-009: Missing unit sale price
SIH26034-00018,Nescafe Classic Coffee,Parle Products Pvt. Ltd.,"Parle Products, V.J.T.I. Campus, Matunga, Mumbai - 400019",47m,m,Rs. 516.74 (Incl. of all taxes),516.74,01/2023,1800-123-4567,care@company.in,,Rs. 10.99 per m,GOOD,Personal Care,NON_COMPLIANT,85,1,LM-PC-008: Missing country of origin
SIH26034-00019,Mother Dairy Dahi,Parle Products Pvt. Ltd.,Parle Products,200kg,kg,Rs. 908.67 (Incl. of all taxes),908.67,05/2025,1800-425-6789,grievance@brand.in,India,Rs. 4.54 per kg,MODERATE,Food & Beverages,NON_COMPLIANT,85,1,LM-PC-003: Incomplete address (no PIN/State)
SIH26034-00020,Maggi 2-Minute Noodles,ITC Limited,"ITC Limited, Virginia House, 37, J.L. Nehru Road, Kolkata - 700071",86N,N,Rs. 297.04 (Incl. of all taxes),297.04,05/2024,1800-120-3345,support@india.com,India,Rs. 3.45 per N,GOOD,Food & Beverages,COMPLIANT,100,0,None
SIH26034-00021,Dettol Original Soap,Procter & Gamble,P&G Plaza,100ml,ml,Rs. 780.39 (Incl. of all taxes),780.39,10/2024,1800-120-3345,support@india.com,India,Rs. 7.8 per ml,POOR,Personal Care,NON_COMPLIANT,85,1,LM-PC-003: Incomplete address (no PIN/State)
SIH26034-00022,Hajmola Digestive Tablets,KRBL Limited,"KRBL Ltd., Post Box No. 3, 5, Community Centre, New Delhi - 110017",750l,l,Rs. 329.27 (Incl. of all taxes),329.27,10/2023,1800-425-6789,grievance@brand.in,India,Rs. 0.44 per l,MODERATE,Personal Care,COMPLIANT,100,0,None
SIH26034-00023,Amul Pure Milk,Marico Limited,"7th Floor, Grande Palladium, 175, CST Road, Santacruz (E), Mumbai - 400098",200g,g,Rs. 229.97 (Incl. of all taxes),229.97,,1800-120-3345,support@india.com,India,Rs. 1.15 per g,MODERATE,Household Cleaning,NON_COMPLIANT,85,1,LM-PC-006: Missing packing/manufacturing date
SIH26034-00024,Head & Shoulders Shampoo,Procter & Gamble,"P&G Plaza, Cardinal Gracias Road, Chakala, Andheri East, Mumbai - 400099",500ml,ml,Rs. 263.27 (Incl. of all taxes),263.27,12/2024,1800-267-8900,consumer@brand.com,India,Rs. 0.53 per ml,GOOD,Household Cleaning,COMPLIANT,100,0,None
SIH26034-00025,Saffola Active Oil,Parle Products Pvt. Ltd.,"Parle Products, V.J.T.I. Campus, Matunga, Mumbai - 400019",2ml,ml,Rs. 288.19 (Incl. of all taxes),288.19,07/2023,1800-120-3345,support@india.com,India,Rs. 144.09 per ml,GOOD,Health & Nutrition,COMPLIANT,100,0,None
SIH26034-00026,Lipton Green Tea,Procter & Gamble,"P&G Plaza, Cardinal Gracias Road, Chakala, Andheri East, Mumbai - 400099",65N,N,Rs. 659.74 (Incl. of all taxes),659.74,07/2024,1800-120-3345,support@india.com,India,Rs. 10.15 per N,POOR,Food & Beverages,NON_COMPLIANT,90,1,LM-PC-010: Poor label readability
SIH26034-00027,Surf Excel Easy Wash,Hindustan Unilever Ltd,Unilever House,68m,m,Rs. 810.54 (Incl. of all taxes),810.54,11/2023,,,,Rs. 11.92 per m,MODERATE,Health & Nutrition,NON_COMPLIANT,55,3,LM-PC-007: Missing consumer care contact; LM-PC-003: Incomplete address (no PIN/State); LM-PC-008: Missing country of origin
SIH26034-00028,Whole Wheat Atta,Britannia Industries Ltd,"No. 5/1A, Hungerford Street, Kolkata, West Bengal - 700017",500kg,kg,Rs. 240.4 (Incl. of all taxes),240.4,05/2023,1800-123-4567,care@company.in,India,Rs. 0.48 per kg,MODERATE,Household Cleaning,COMPLIANT,100,0,None
SIH26034-00029,,Hindustan Unilever Ltd,"Unilever House, B.D. Sawant Marg, Chakala, Andheri (E), Mumbai - 400099",49N,N,Rs. 919.0 (Incl. of all taxes),919.0,04/2024,1800-120-3345,support@india.com,India,Rs. 18.76 per N,GOOD,Health & Nutrition,NON_COMPLIANT,80,1,LM-PC-001: Missing product name
SIH26034-00030,Saffola Active Oil,KRBL Limited,"KRBL Ltd., Post Box No. 3, 5, Community Centre, New Delhi - 110017",34N,N,Rs. 1155.6 (Incl. of all taxes),1155.6,02/2023,1800-120-3345,support@india.com,India,Rs. 33.99 per N,GOOD,Food & Beverages,COMPLIANT,100,0,None
SIH26034-00031,Mother Dairy Dahi,Adani Wilmar Ltd,"Fortune House, Near Navrangpura Bus Stop, Ahmedabad, Gujarat - 380009",51N,N,Rs. 46.96 (Incl. of all taxes),46.96,08/2024,1800-267-8900,consumer@brand.com,Made in India,Rs. 0.92 per N,POOR,Health & Nutrition,COMPLIANT,100,0,None
SIH26034-00032,Dabur Honey,Amul (GCMMF),"P.O. Box 10, Amul Dairy Road, Anand, Gujarat - 388001",250kg,kg,Rs. 669.21 (Incl. of all taxes),669.21,01/2024,1800-267-8900,consumer@brand.com,India,Rs. 2.68 per kg,MODERATE,Dairy Products,COMPLIANT,100,0,None
